System startup,2022-05-22 18:35:06.14,
Loading emperors,2022-05-22 18:35:06.143,
Adding emperor: Edward Newgate ,2022-05-22 18:35:06.144,
Adding emperor: Kaido ,2022-05-22 18:35:06.144,
Loading warlords,2022-05-22 18:35:06.144,
Adding warlord: Buggy The Clown,2022-05-22 18:35:06.144,
Adding warlord: Donquixote Doflamingo,2022-05-22 18:35:06.144,
Loading worst generations,2022-05-22 18:35:06.144,
Adding worst generation: Monkey D. Luffy ,2022-05-22 18:35:06.145,
Adding worst generation: Roronoa Zoro,2022-05-22 18:35:06.145,
Loading devil fruits,2022-05-22 18:35:06.145,
Adding devil fruit: Tremor Tremor,2022-05-22 18:35:06.145,
Adding devil fruit: Dragon Dragon,2022-05-22 18:35:06.145,
Uploading emperors,2022-05-22 18:35:06.147,
Uploading warlords,2022-05-22 18:35:06.149,
Uploading worst generations,2022-05-22 18:35:06.151,
Uploading devil fruits,2022-05-22 18:35:06.153,
System shutdown,2022-05-22 18:35:06.155,
